2020;Mix2020;2019;Mix2019;2018;Mix2018;2017;Mix2017;2016;Mix2016;2015;Mix2015;2014;Mix2014;2013;Mix2013;2012;Mix2012;2011;Mix2011
Mix sin GdO;0,25;Mix sin GdO;0,31;Mix sin GdO;0,41;Mix sin GdO;0,43;Mix sin GdO;0,36;Mix sin GdO;0,40;Mix sin GdO;0,37;Mix sin GdO;0,36;Mix sin GdO;0,40;Mix sin GdO;0,36
ACCIONA GREEN ENERGY DEVELOPMENTS, S.L.;0,00;ACCIÓN ENERGÍA COMERCIALIZADORA, S.L.;0,00;24-7 UTILITIES, S.L.U.;0,00;A-DOS ENERGíA, S.L. ;0,34;ACCIONA GREEN ENERGY DEVELOPMENTS, S.L.;0,00;ACCIONA GREEN ENERGY DEVELOPMENTS, S.L.;0,00;ACCIONA GREEN ENERGY DEVELOPMENTS, S.L.;0,00;ACCIONA GREEN ENERGY DEVELOPMENTS, S.L.;0,00;ACCIONA GREEN ENERGY DEVELOPMENTS, S.L.;0,00;ACCIONA GREEN ENERGY DEVELOPMENTS, S.L.;0,00
ACCIÓN ENERGÍA COMERCIALIZADORA, S.L.;0,00;ACCIONA GREEN ENERGY DEVELOPMENTS, S.L.;0,00;ACCIONA GREEN ENERGY DEVELOPMENTS, S.L.;0,00;ACCIONA GREEN ENERGY DEVELOPMENTS, S.L.;0,00;ACCIÓN ENERGÍA COMERCIALIZADORA, S.L.;0,00;ALDRO ENERGÍA Y SOLUCIONES, S.L.U.;0,40;AGENTE DEL MERCADO ELÉCTRICO, S.A.;0,37;ALPIQ ENERGÍA ESPAÑA, S.A.U.;0,25;ALPIQ ENERGÍA ESPAÑA, S.A.U.;0,39;AE3000 AGENT COMERCIALITZADOR, S.L.;0,36
ACSOL ENERGÍA GLOBAL, S.A.;0,00;ACSOL ENERGÍA GLOBAL, S.A.;0,29;ACCIÓN ENERGÍA COMERCIALIZADORA, S.L.;0,00;ACCIÓN ENERGÍA COMERCIALIZADORA, S.L.;0,07;ADEINNOVA ENERGÍA, S.L.U.;0,33;ANOTHER ENERGY OPTION, S.L.;0,00;AURA ENERGÍA, S.L.;0,29;AXPO IBERIA, S.L.;0,03;COMERCIALIZADORA LERSA , S.L.;0,40;ALPIQ ENERGÍA ESPAÑA, S.A.U.;0,35
ACTIVA COMERCIALIZADORA DE ENERGÍA SL;0,00;ADEINNOVA ENERGÍA, S.L.U.;0,12;ACSOL ENERGÍA GLOBAL, S.A.;0,41;ACSOL ENERGÍA GLOBAL, S.A.;0,43;AGRI-ENERGÍA, S.A.;0,00;AUDAX ENERGÍA, S.L.U.;0,40;AVANZALIA ENERGÍA COMERCIALIZADORA, S.A.;0,00;CEPSA GAS Y ELECTRICIDAD;0,00;DERIVADOS ENERGÉTICOS PARA EL TRANSPORTE Y LA INDUSTRIA, S.A. (DETISA);0,31;COMERCIALIZADORA LERSA , S.L.;0,36
ADEINNOVA ENERGÍA, S.L.U.;0,00;ADELFAS ENERGÍA, S.L.;0,04;ADEINNOVA ENERGÍA, S.L.U.;0,31;ADEINNOVA ENERGÍA, S.L.U.;0,39;ALCANZIA ENERGÍA, S.L.;0,30;AURA ENERGÍA, S.L.;0,00;AXPO IBERIA, S.L.;0,00;CLIDOM ENERGY, S.L.;0,00;E.ON ENERGÍA, S.L.;0,30;DERIVADOS ENERGÉTICOS PARA EL TRANSPORTE Y LA INDUSTRIA, S.A. (DETISA);0,16
ADELFAS ENERGÍA, S.L.;0,00;ADS ENERGY 8,0, S.L.;0,00;ADELFAS ENERGÍA, S.L.;0,35;AGENTE DEL MERCADO ELÉCTRICO, S.A.;0,42;ALDRO ENERGÍA Y SOLUCIONES, S.L.U.;0,36;AVANZALIA ENERGÍA COMERCIALIZADORA, S.A.;0,25;CEPSA GAS Y ELECTRICIDAD, S.A.;0,00;COMERCIALIZADORA LERSA , S.L.;0,35;EGL ENERGÍA IBERIA, S.L.;0,00;E.ON ENERGÍA, S.L.;0,21
ADS ENERGY 8,0, S.L.;0,00;ADURIZ ENERGÍA, S.L.U.;0,00;AGENTE DEL MERCADO ELÉCTRICO, S.A.;0,36;AGRI-ENERGÍA, S.A.;0,00;ANOTHER ENERGY OPTION, S.L.;0,00;AXPO IBERIA, S.L.;0,00;CIDE HCENERGÍA S.A.;0,37;E.ON ENERGÍA, S.L.;0,25;ENARA GESTIÓN Y MEDIACIÓN, S.L.;0,00;EGL ENERGÍA IBERIA, S.L.;0,00
ADURIZ ENERGÍA, S.L.U.;0,00;AGENTE DEL MERCADO ELÉCTRICO, S.A.;0,27;AGRI-ENERGÍA, S.A.;0,00;ALCANZIA ENERGÍA, S.L.;0,32;AQUÍ ENERGÍA, S.L.;0,00;BASSOLS ENERGÍA COMERCIAL, S.L.;0,39;CLIDOM ENERGY, S.L.;0,00;ELECTRICA SOLLERENSE, S.A.;0,00;ENDESA ENERGÍA, S.A.;0,37;ENARA GESTIÓN Y MEDIACIÓN, S.L.;0,19
AGENTE DEL MERCADO ELÉCTRICO, S.A.;0,18;AGRI-ENERGÍA, S.A.;0,00;AGUAS DE BARBASTRO ENERGÍA, S.L.;0,41;ALDRO ENERGÍA Y SOLUCIONES, S.L.U.;0,42;AUDAX ENERGÍA, S.L.U.;0,36;CEPSA GAS Y ELECTRICIDAD, S.A.;0,00;COMERCIALIZADORA LERSA , S.L.;0,36;ENARA GESTIÓN Y MEDIACIÓN, S.L.;0,00;ENÉRGYA VM GESTIÓN DE ENERGÍA, S.L.U.;0,00;ENDESA ENERGÍA, S.A.;0,33
AGRI-ENERGÍA, S.A.;0,00;AGUAS DE BARBASTRO ENERGÍA, S.L.;0,31;ALCANZIA ENERGÍA, S.L.;0,30;ALPIQ ENERGÍA ESPAÑA, S.A.U.;0,06;AURA ENERGÍA, S.L.;0,00;CLIDOM ENERGY, S.L.;0,00;CYE ENERGÍA, S.L.;0,00;ENDESA ENERGÍA, S.A.;0,31;FACTOR ENERGÍA, S.A.;0,25;ENÉRGYA VM GESTIÓN DE ENERGÍA, S.L.U.;0,00
AGUAS DE BARBASTRO ENERGÍA, S.L.;0,25;AHORRELUZ SERVICIOS ONLINE S.L;0,00;ALDRO ENERGÍA Y SOLUCIONES, S.L.U.;0,40;ANOTHER ENERGY OPTION, S.L.;0,02;AVANZALIA ENERGÍA COMERCIALIZADORA, S.A.;0,15;COMERCIALIZADORA LERSA , S.L.;0,40;E.ON ENERGÍA, S.L.;0,27;ENDESA GENERACIÓN, S.A.;0,28;GAS NATURAL COMERCIALIZADORA, S.A.;0,14;FACTOR ENERGÍA, S.A;0,23
AHORRELUZ SERVICIOS ONLINE S.L;0,00;AHORRO ENERGÍA HOGAR INVESTMENTS, S.L.;0,31;ALILUZ MEDITERRANEA, S.L.;0,00;APELES ELECTRICIDAD, S.L.;0,00;AXPO IBERIA, S.L.;0,00;COMERCIALIZADORA ZERO ELECTRUM, S.L.;0,40;ELECTRICA SOLLERENSE, S.A.;0,26;ENERCOLUZ ENERGÍA, S.L.;0,36;GAS NATURAL SERVICIOS SDG, S.A.;0,13;GAS NATURAL COMERCIALIZADORA, S.A.;0,08
AHORRO ENERGÍA HOGAR INVESTMENTS, S.L.;0,22;ALCANZIA ENERGÍA, S.L.;0,00;ALPIQ ENERGÍA ESPAÑA, S.A.U.;0,12;AQUÍ ENERGÍA, S.L.;0,00;BASSOLS ENERGÍA COMERCIAL, S.L.;0,00;COMPAÑÍA ESCANDINAVA DE ELECTRICIDAD EN ESPAÑA, S.L.;0,00;ENARA GESTIÓN Y MEDIACIÓN, S.L.;0,00;ENERGY BY COGEN, S.L.;0,32;GDF SUEZ ESPAÑA, S.A.U.;0,01;GAS NATURAL SERVICIOS SDG, S.A.;0,08
AIRE COMERCIALIZADORA S.L.;0,00;ALDRO ENERGÍA Y SOLUCIONES, S.L.U.;0,30;ANOTHER ENERGY OPTION, S.L.;0,35;ASAL DE ENERGÍA, S.L. ;0,00;BETA RENOWABLE GROUP, S.A.;0,00;COOPERATIVA ELECTRICA DE CASTELLAR, S.C.V.;0,00;ENDESA ENERGÍA, S.A.;0,33;ENÉRGYA VM GESTIÓN DE ENERGÍA, S.L.U.;0,00;GEOATLANTER, S.L.;0,00;GDF SUEZ ESPAÑA, S.A.U.;0,00
AIRE LIMPIO SL;0,00;ALPEX IBERICA DE ENERGÍA, S.L.U;0,00;AQUÍ ENERGÍA, S.L.;0,00;AUDAX ENERGÍA, S.L.U.;0,41;CEMOI ELECTRICITE, S.L. ;0,18;CYE ENERGÍA, S.L.;0,03;ENDESA GENERACIÓN, S.A.;0,00;FACTOR ENERGÍA, S.A.;0,24;GESTERNOVA, S.A.;0,00;GESTERNOVA, S.A.;0,00
ALCANZIA ENERGÍA, S.L.;0,00;ALPIQ ENERGÍA ESPAÑA, S.A.U.;0,18;ASAL DE ENERGÍA, S.L. ;0,00;AURA ENERGÍA, S.L.;0,00;CEPSA GAS Y ELECTRICIDAD, S.A.;0,00;DREUE ELECTRIC, S.L.;0,02;ENEL GREEN POWER ESPAÑA, S.L.;0,00;FENIE ENERGÍA, S.A.;0,35;HIDROCANTABRICO ENERGÍA, S.A. Unipersonal;0,24;HIDROCANTABRICO ENERGÍA, S.A. UNIPERSONAL;0,23
ALDRO ENERGÍA Y SOLUCIONES, S.L.U.;0,00;ANOTHER ENERGY OPTION, S.L.;0,00;AUDAX ENERGÍA, S.L.U.;0,29;AUSARTA PRIMA, S.L.;0,00;CLIDOM ENERGY, S.L.;0,00;E.ON ENERGÍA, S.L.;0,34;ENERCOLUZ ENERGÍA, S.L.;0,31;GAS NATURAL COMERCIALIZADORA, S.A.;0,23;HIDROELÉCTRICA EL CARMEN ENERGÍA, S.L.;0,00;HIDROELÉCTRICA EL CARMEN ENERGÍA, S.L.;0,33
ALPEX IBÉRICA DE ENERGÍA, S.L.U;0,00;AQUÍ ENERGÍA, S.L.;0,00;AURA ENERGÍA, S.L.;0,00;AVANZALIA ENERGÍA COMERCIALIZADORA, S.A.;0,11;COMERCIALIZADORA ELÉCTRICA DE CADIZ, S.A.;0,00;ELECTRICA DE CHERA, S.C.V.;0,00;ENÉRGYA VM GESTIÓN DE ENERGÍA, S.L.U.;0,00;GAS NATURAL SERVICIOS SDG, S.A.;0,23;IBERDROLA GENERACION, S.A.U.;0,24;IBERDROLA GENERACION, S.A.U.;0,17
ALPIQ ENERGÍA ESPAÑA, S.A.U.;0,14;ASAL DE ENERGÍA, S.L. ;0,00;AUSARTA PRIMA, S.L.;0,00;AXPO IBERIA, S.L.;0,00;COMERCIALIZADORA LERSA , S.L.;0,05;ELECTRICA DE GUADASSUAR COOP. V.;0,00;FACTOR ENERGÍA, S.A.;0,27;GDF SUEZ ESPAÑA, S.A.U.;0,32;"LA UNION ELECTRO INDUSTRIAL, S.L. ""UNIPERSONAL""";0,35;NATURGAS COMERCIALIZADORA, S.A.;0,26
ALSET COMERCIALIZADORA, S.L.;0,00;ATLAS ENERGÍA COMERCIAL, S.L.;0,28;AVANZALIA ENERGÍA COMERCIALIZADORA, S.A.;0,25;BASSOLS ENERGÍA COMERCIAL, S.L.;0,00;COMPAÑÍA ESCANDINAVA DE ELECTRICIDAD EN ESPAÑA, S.L.;0,00;ELECTRICA SOLLERENSE, S.A.;0,33;FENIE ENERGÍA, S.A.;0,32;GEOATLANTER, S.L.;0,00;NATURGAS ENERGÍA COMERCIALIZADORA, S.A.U.;0,25;NEXUS ENERGÍA, S.A.;0,36
ANOTHER ENERGY OPTION, S.L.;0,00;AUDAX ENERGÍA, S.L.U.;0,00;AXPO IBERIA, S.L.;0,00;CEPSA GAS Y ELECTRICIDAD, S.A.;0,00;COMPAÑÍA LUMISA ENERGÍAS, S.L.;0,02;ELÉCTRICA DE MELIANA, S.C.V.;0,00;GAS NATURAL COMERCIALIZADORA, S.A.;0,29;GESTERNOVA, S.A.;0,00;NEXUS ENERGÍA, S.A.;0,30;NEXUS RENOVABLES, S.L.;0,00
AQUÍ ENERGÍA, S.L.;0,00;AURA ENERGÍA, S.L.;0,00;BASSOLS ENERGÍA COMERCIAL, S.L.;0,00;CLIDOM ENERGY, S.L.;0,00;COOPERATIVA ELÉCTRICA DE CASTELLAR, S.C.V.;0,00;ELÉCTRICA DE SOT DE CHERA S. COOP.V.;0,00;GAS NATURAL SERVICIOS SDG, S.A.;0,29;GOIENER S.COOP;0,00;NEXUS RENOVABLES, S.L.;0,01;SOM ENERGÍA, S.C.C.L.;0,00
ARACÁN ENERGÍA, S.L.;0,24;AUSARTA PRIMA, S.L.;0,00;CATGAS ENERGÍA, S.A.;0,40;COMERCIALIZADORA ELÉCTRICA DE CÁDIZ, S.A.;0,00;COOPERATIVA ELÉCTRICA BENÉFICA CATRALENSE, COOP. V.;0,00;ELÉCTRICA DE VINALESA, S.L.U.;0,21;GDF SUEZ ENERGÍA ESPAÑA, S.A.U.;0,34;HIDROCANTABRICO ENERGÍA, S.A. Unipersonal;0,17;SOM ENERGÍA, S.C.C.L.;0,00;UNION FENOSA COMERCIAL, S.L.;0,33
ARSUS ENERGÍA, S.L;0,25;AVANZALIA ENERGÍA COMERCIALIZADORA, S.A.;0,19;CEMOI ELECTRICITE, S.L. ;0,38;COMERCIALIZADORA ELÉCTRICA TALAYUELAS, S.L.;0,00;COOPERATIVA ELÉCTRICA BENÉFICA SAN FRANCISCO DE ASÍS, COOP. V.;0,00;EMASP, S. COOP.;0,00;GEOATLANTER, S.L.;0,00;HIDROELECTRICA DEL VALIRA, S.L.;0,14;UNION FENOSA COMERCIAL, S.L.;0,39;;
ASAL DE ENERGÍA, S.L. ;0,00;AXPO IBERIA, S.L.;0,00;"CEPSA COMERCIAL PETRÓLEO,
S.A.U.";0,00;COMERCIALIZADORA LERSA , S.L.;0,00;COOPERATIVA ELÉCTRICA-BENÉFICA ALBATERENSE, COOP.V.;0,00;ENARA GESTIÓN Y MEDIACIÓN, S.L.;0,00;GESTERNOVA, S.A.;0,00;HIDROELÉCTRICA EL CARMEN ENERGÍA, S.L.;0,00;ZENCER, S. COOP. AND;0,00;;
ATENCO ENERGÍA SL;0,00;BASSOLS ENERGÍA COMERCIAL, S.L.;0,00;CEPSA GAS Y ELECTRICIDAD, S.A.;0,00;COMPAÑÍA ESCANDINAVA DE ELECTRICIDAD EN ESPAÑA, S.L.;0,00;CYE ENERGÍA, S.L.;0,00;ENDESA ENERGÍA, S.A.;0,38;GOIENER S.COOP;0,00;IBERDROLA GENERACION, S.A.U.;0,16;;;;
ATLAS ENERGÍA COMERCIAL, S.L.;0,21;BEYOND SUN SL;0,00;CHITAHI ENERGY, S.L.;0,00;COOPERATIVA ELÉCTRICA DE CASTELLAR, S.C.V.;0,00;DAIMUZ ENERGÍA, S.L.;0,36;ENERCOLUZ ENERGÍA, S.L.;0,33;HIDROCANTABRICO ENERGÍA, S.A. Unipersonal;0,19;"LA UNION ELECTRO INDUSTRIAL, S.L. ""UNIPERSONAL""";0,00;;;;
AUDAX ENERGÍA, S.L.U.;0,00;BSG ENERGÍA S.L.;0,29;CLIDOM ENERGY, S.L.;0,00;COOPERATIVA ELÉCTRICA BENÉFICA CATRALENSE, COOP. V.;0,00;DREUE ELECTRIC, S.L.;0,00;ENERGY STROM XXI, S.L.;0,40;HIDROELECTRICA DEL VALIRA, S.L.;0,14;NATURGAS ENERGÍA COMERCIALIZADORA, S.A.U.;0,21;;;;
AURA ENERGÍA, S.L.;0,00;BULB ENERGÍA IBERICA, S.L.;0,00;COMERCIALIZADORA DE ELECTRICIDAD Y GAS DEL MEDITERRÁNEO, S.L.;0,00;COOPERATIVA ELÉCTRICA BENÉFICA SAN FRANCISCO DE ASÍS, COOP. V.;0,00;DRK ENERGY, S.L.;0,00;ENERGÍA COLECTIVA, S.L.;0,00;HIDROELÉCTRICA EL CARMEN ENERGÍA, S.L.;0,00;NEXUS ENERGÍA, S.A.;0,12;;;;
AUSARTA PRIMA, S.L.;0,00;CATGAS ENERGÍA, S.A.;0,00;COMERCIALIZADORA DE ENERGÍA DIRECTA, S.L.;0,00;COOPERATIVA ELÉCTRICA-BENÉFICA ALBATERENSE, COOP.V.;0,00;EDP COMERCIALIZADORA, S.A.U.;0,24;ENERPLUS ENERGÍA, S.A.;0,01;IBERDROLA CLIENTES, S.A.U.;0,12;NEXUS RENOVABLES, S.L.;0,00;;;;
AVANZALIA ENERGÍA COMERCIALIZADORA, S.A.;0,20;"CEPSA COMERCIAL PETRÓLEO,
 S.A.U.";0,00;COMERCIALIZADORA ELECTRICA DE CADIZ, S.A.;0,00;COOPERATIVA VALENCIANA ELECTRODISTRIBUIDORA DE FUERZA Y ALUMBRADO SERRALLO, S.Coop.V.;0,00;EDP Energía S.A.U.;0,24;ENÉRGYA VM GESTIÓN DE ENERGÍA, S.L.U.;0,00;"LA UNION ELECTRO INDUSTRIAL, S.L. ""UNIPERSONAL""";0,04;OLTEN-LLUM, S.L.;0,34;;;;
AXPO IBERIA, S.L.;0,00;CEPSA GAS Y ELECTRICIDAD, S.A.;0,00;COMERCIALIZADORA ELÉCTRICA TALAYUELAS, S.L.;0,00;COX ENERGÍA COMERCIALIZADORA ESPAÑA, S.L.U.;0,00;ELECNOVA SIGLO XXI, S.L.;0,00;FACTOR ENERGÍA, S.A.;0,31;NATURGAS ENERGÍA COMERCIALIZADORA, S.A.U.;0,20;SOM ENERGÍA, S.C.C.L.;0,00;;;;
BASSOLS ENERGÍA COMERCIAL, S.L.;0,00;CIDE HCENERGÍA S.A.;0,31;COMERCIALIZADORA LERSA , S.L.;0,00;CYE ENERGÍA, S.L.;0,00;ELECTRA DEL CARDENER ENERGÍA, S.A.;0,00;FENIE ENERGÍA, S.A.;0,36;NEXUS ENERGÍA, S.A.;0,13;UNIELÉCTRICA ENERGÍA, S.L.;0,00;;;;
BEYOND SUN SL;0,00;CLIDOM ENERGY, S.L.;0,00;COMPAÑÍA ESCANDINAVA DE ELECTRICIDAD EN ESPAÑA, S.L.;0,00;DAIMUZ ENERGÍA, S.L.;0,00;ELÉCTRICA ALBATERENSE, S.L.;0,00;GAS NATURAL COMERCIALIZADORA, S.A.;0,35;NEXUS RENOVABLES, S.L.;0,00;UNION FENOSA COMERCIAL, S.L.;0,36;;;;
BIROU GAS S.L.;0,24;COMERCIALIZADORA DE ELECTRICIDAD Y GAS DEL MEDITERRÁNEO, S.L.;0,00;COOPERATIVA ELECTRICA DE CASTELLAR, S.C.V.;0,00;DISA ENERGÍA ELÉCTRICA, S.L.U.;0,00;ELÉCTRICA ALGIMIA DE ALFARA, S.COOP.V.;0,00;GAS NATURAL SERVICIOS SDG, S.A.;0,36;OLTEN-LLUM, S.L.;0,34;ZENCER, S. COOP. AND;0,00;;;;
BON PREU, SAU;0,00;COMERCIALIZADORA ELECTRICA DE CADIZ, S.A.;0,00;COOPERATIVA ELÉCTRICA BENÉFICA CATRALENSE, COOP. V.;0,00;DREUE ELECTRIC, S.L.;0,26;ELÉCTRICA CATRALENSE, S.L.;0,03;GDF SUEZ ENERGÍA ESPAÑA, S.A.U.;0,35;ON DEMAND FACILITIES, S.L.;0,37;;;;;;
BULB ENERGÍA IBÉRICA SL;0,00;COMERCIALIZADORA ELECTRICA PENINSULAR, S.L.;0,31;COOPERATIVA ELÉCTRICA BENÉFICA SAN FRANCISCO DE ASÍS, COOP. V.;0,00;DRK ENERGY, S.L.;0,02;ELÉCTRICA DE CHERA, S.C.V.;0,00;GEOATLANTER, S.L.;0,14;SOM ENERGÍA, S.C.C.L.;0,00;;;;;;
BY ENERGYC ENERGÍA EFICIENTE, S.L.;0,00;COMERCIALIZADORA ELÉCTRICA TALAYUELAS, S.L.;0,07;COOPERATIVA ELÉCTRICA-BENÉFICA ALBATERENSE, COOP.V.;0,00;ECOFUTURA LUZ ENERGÍA, S.L.;0,00;ELÉCTRICA DE GUADASSUAR COOP. V.;0,00;GESTERNOVA, S.A.;0,00;THE YELLOW ENERGY, S.L.;0,00;;;;;;
CATGAS ENERGÍA, S.A.;0,00;COMERCIALIZADORA ENERGÉTICA SOSTENIBLE, S.A.U.;0,00;COOPERATIVA VALENCIANA ELECTRODISTRIBUIDORA DE FUERZA Y ALUMBRADO SERRALLO, S.Coop.V.;0,00;EDP COMERCIALIZADORA, S.A.U.;0,26;ELÉCTRICA DIRECTA ENERGÍA, S.L.;0,00;GNERA ENERGÍA Y TECNOLOGIA, S.L.;0,00;UNIELÉCTRICA ENERGÍA, S.A.;0,00;;;;;;
