2020;Mix2020;2019;Mix2019;2018;Mix2018;2017;Mix2017;2016;Mix2016;2015;Mix2015;2014;Mix2014;2013;Mix2013;2012;Mix2012;2011;Mix2011
ENERGÍA VIVA SPAIN, S.L.;0,00;FOX ENERGÍA, S.A.;0,31;GEOATLANTER, S.L.;0,00;PROT ENERGÍA COMERCIALIZACIÓN, S.L.;0,00;SUMINISTROS ESPECIALES ALGINETENSES COOP. V.;0,00;;;;;;;;;;
ENERGÍAS DE ESCARRILLA SL;0,00;FUSIONA COMERCIALIZADORA, S.A.;0,00;GERENTA ENERGÍA, S.L.U;0,00;PULSAR SERVICIOS ENERGÉTICOS, S.L.;0,00;SUNAIR ONE ENERGY, S.L.;0,31;;;;;;;;;;
ENERGY BY COGEN, S.L.;0,26;GAIA GLOBAL ENERGY SOCIEDAD LIMITADA;0,00;GESTERNOVA, S.A.;0,00;RENEWABLE VENTURES, S.L.;0,00;SYDER COMERCIALIZADORA VERDE, S.L.;0,00;;;;;;;;;;
ENERGY STROM XXI, S.L.;0,00;GALP ENERGÍA ESPAÑA S.A.U.;0,27;GLOBAL BIOSFERA PROTEC, S.L.;0,00;SAMPOL INGENIERÍA Y OBRAS, S.A.;0,32;TELEFÓNICA SOLUCIONES DE INFORMÁTICA Y COMUNICACIONES DE ESPAÑA, S.A.U.;0,00;;;;;;;;;;
ENERGÍA COLECTIVA, S.L.;0,00;GAOLANIA SERVICIOS, S.L.;0,00;GNERA ENERGÍA Y TECNOLOGIA, S.L.;0,00;SOM ENERGÍA, S.C.C.L.;0,00;THE YELLOW ENERGY, S.L.;0,00;;;;;;;;;;
ENERGÍA COSTA DORADA SL;0,00;GAS NATURAL COMERCIALIZADORA, S.A.;0,21;GOIENER S.COOP;0,00;SUMINISTRADORA ELÉCTRICA VIENTOS ALISIOS DE LANZAROTE, S.L.;0,00;TRADE UNIVERSAL ENERGY, S.A.;0,00;;;;;;;;;;
ENERGÍA DLR COMERCIALIZADORA, S.L.;0,22;GEO ALTERNATIVA, S.L.;0,00;GRUPO IBERSOGAS ENERGÍA, S.L.;0,41;SUMINISTROS ESPECIALES ALGINETENSES COOP. V.;0,00;UNIC GLOBAL-LOGISTICS S.L.;0,00;;;;;;;;;;
ENERGÍA ELÉCTRICA EFICIENTE, S.L;0,00;GEOATLANTER, S.L.;0,00;HELIA COOP V;0,00;SWAP ENERGÍA, S.A.;0,39;UNIELÉCTRICA ENERGÍA, S.A.;0,00;;;;;;;;;;
ENERGÍA NUFRI, S.L.U.;0,25;GERENTA ENERGÍA, S.L.U;0,00;HELIOELEC ENERGÍA ELECTRICA, S.L.;0,00;SYDER COMERCIALIZADORA VERDE, S.L.;0,00;V3J INGENIERIA Y SERVICIOS, S.L.;0,28;;;;;;;;;;
ENERGÍAS DE PANTICOSA COMERCIALIZADORA, S.L.;0,00;GESTERNOVA, S.A.;0,00;HIDROELECTRICA DEL VALIRA, S.L.;0,00;TELEFÓNICA SOLUCIONES DE INFORMÁTICA Y COMUNICACIONES DE ESPAÑA, S.A.U.;0,00;VIESGO ENERGíA, S.L.;0,26;;;;;;;;;;
ENERPLUS ENERGÍA, S.A.;0,23;GLOBAL BIOSFERA PROTEC, S.L.;0,00;HIDROELÉCTRICA EL CARMEN ENERGÍA, S.L.;0,00;THE YELLOW ENERGY, S.L.;0,00;WATIUM, S.L.;0,00;;;;;;;;;;
ENGIE ESPAÑA, S.L.U.;0,20;GLOBELIGHT ENERGY S.L;0,22;IBERDROLA CLIENTES, S.A.U.;0,27;TRADE UNIVERSAL ENERGY, S.A.;0,00;WIND TO MARKET, S.A.;0,00;;;;;;;;;;
ENSTROGA, S.L.;0,24;GNERA ENERGÍA Y TECNOLOGIA, S.L.;0,00;IBERDROLA GENERACION ESPAÑA, S.A.U.;0,00;UNIELÉCTRICA ENERGÍA, S.A.;0,00;ZENCER, S. COOP. AND;0,00;;;;;;;;;;
ENERGYA VM GESTIÓN DE ENERGÍA, S.L.U.;0,20;GOIENER S.COOP;0,00;IBERDROLA SERVICIOS ENERGETICOS, S.A.U.;0,00;V3J INGENIERIA Y SERVICIOS, S.L.;0,37;;;;;;;;;;;;
EPRESA ENERGÍA, S.A.U.;0,00;GRUPO IBERSOGAS ENERGÍA, S.L.;0,31;IBERELECTRICA COMERCIALIZADORA, S.L.;0,41;VIESGO ENERGÍA, S.L.;0,32;;;;;;;;;;;;
ESTABANELL Y PAHISA MERCATOR, S.A.;0,00;HELIA COOP V;0,00;IM3 ENERGÍA, S.L.;0,31;WATIUM, S.L.;0,00;;;;;;;;;;;;
ESTRATEGIAS ELÉCTRICAS INTEGRALES, S.A.;0,18;HELIOELEC ENERGÍA ELECTRICA, S.L.;0,00;INDEXO ENERGÍA, S.L.;0,31;WIND TO MARKET, S.A.;0,18;;;;;;;;;;;;
ETERNAL ENERGY S.L.;0,00;HIDROELECTRICA DEL VALIRA, S.L.;0,00;INER ENERGÍA CASTILLA LA MANCHA, S.L.;0,41;;;;;;;;;;;;;;
EVERGREEN ELÉCTRICA, S.L.;0,25;HIDROELÉCTRICA EL CARMEN ENERGÍA, S.L.;0,00;INICIATIVA E. NOVA, S.L.;0,00;;;;;;;;;;;;;;
FACTOR ENERGÍA, S.A.;0,16;IBERCOEN ENERGÍA, S.A.;0,00;INTEGRACION EUROPEA DE ENERGÍA SUR, S.L.;0,41;;;;;;;;;;;;;;
FACTOR INTEGRAL TRADING SERVICES SAU;0,00;IBERDROLA CLIENTES, S.A.U.;0,20;INTEGRACIÓN EUROPEA DE ENERGÍA, S.A.U.;0,41;;;;;;;;;;;;;;
FAIN ENERGÍA, S.L.;0,00;IBERDROLA GENERACION ESPAÑA, S.A.U.;0,00;KILOWATIOS VERDES, S.L.;0,01;;;;;;;;;;;;;;
FENIE ENERGÍA, S.A.;0,00;IBERDROLA SERVICIOS ENERGETICOS, S.A.U.;0,00;LA UNION ELECTRO INDUSTRIAL, S.L.U.;0,00;;;;;;;;;;;;;;
FORTIA ENERGÍA, S.L.;0,24;IBERELECTRICA COMERCIALIZADORA, S.L.;0,31;LEDESMA COMERCIALIZADORA ELÉCTRICA, S.L.;0,00;;;;;;;;;;;;;;
FORZA VSUNAIR, S.L.;0,00;IM3 ENERGÍA, S.L.;0,00;LONJAS TECNOLOGIA, S.A.;0,34;;;;;;;;;;;;;;
FOX ENERGÍA S.A;0,31;INDEXO ENERGÍA, S.L.;0,13;LUBALOO, S.L.;0,00;;;;;;;;;;;;;;
FUSIONA COMERCIALIZADORA, S.A.;0,00;INER ENERGÍA CASTILLA LA MANCHA, S.L.;0,29;MEGARA ENERGÍA SOCIEDAD COOPERATIVA CYL;0,00;;;;;;;;;;;;;;
FOENER ENERGÍA, S.L;0,21;INICIATIVA E. NOVA, S.L.;0,00;MULTIENERGÍA VERDE, S.L.;0,03;;;;;;;;;;;;;;
GAIA GLOBAL ENERGY SOCIEDAD LIMITADA;0,00;INNOVA DESARROLLO Y EFICIENCIA ENERGÉTICA, S.L.;0,00;NABALIA ENERGÍA 2000, S.A.;0,31;;;;;;;;;;;;;;
GALP ENERGÍA ESPAÑA S.A.U.;0,24;INTEGRACIÓN EUROPEA DE ENERGÍA, S.A.U.;0,31;NEXUS ENERGÍA, S.A.;0,00;;;;;;;;;;;;;;
GAOLANIA SERVICIOS, S.L.;0,00;INTEGRACION EUROPEA DE ENERGÍA SUR, S.L.;0,30;NINOBE SERVICIOS ENERGÉTICOS, S.L.;0,37;;;;;;;;;;;;;;
GAS NATURAL COMERCIALIZADORA, S.A.;0,14;INTELIGENCIA PARA EL AHORRO ENERGÉTICO, S.L.;0,00;NOBE SOLUCIONES Y ENERGÍA;0,00;;;;;;;;;;;;;;
GASILUZ ECO ENERCIA S.L.;0,00;KILOWATIOS VERDES, S.L.;0,11;NOSA ENERXIA SOCIEDADE COOP GALEGA;0,00;;;;;;;;;;;;;;
GEO ALTERNATIVA, S.L.;0,00;KISHOA, S.L.;0,00;ODF ENERGÍA LIBRE COMERCIALIZADORA, S.L.;0,00;;;;;;;;;;;;;;
GEOATLANTER, S.L.;0,00;LA CORRIENTE SOCIEDAD COOPERATIVA;0,00;ON DEMAND FACILITIES, S.L.U.;0,00;;;;;;;;;;;;;;
GERENTA ENERGÍA, S.L.U;0,00;LA UNION ELECTRO INDUSTRIAL, S.L.U.;0,00;PEPEENERGY;0,00;;;;;;;;;;;;;;
GESTERNOVA, S.A.;0,00;LONJAS TECNOLOGIA, S.A.;0,25;PETRO NAVARRA, S.L.;0,00;;;;;;;;;;;;;;
GESTINER INGENIEROS, S.L.;0,00;LOOP ELECTRICIDAD Y GAS S.L.;0,00;PETRONIEVES ENERGÍA 1, S.L.;0,39;;;;;;;;;;;;;;
GLOBAL BIOSFERA PROTEC, S.L.;0,00;LUBALOO, S.L.;0,00;PHOTON GESTION;0,00;;;;;;;;;;;;;;
GLOBELIGHT ENERGY S.L;0,23;LUX FORUM SL;0,28;PROT ENERGÍA COMERCIALIZACIÓN, S.L.;0,00;;;;;;;;;;;;;;
GNERA ENERGÍA Y TECNOLOGÍA, S.L.;0,00;MEGARA ENERGÍA SOCIEDAD COOPERATIVA CYL;0,00;PULSAR SERVICIOS ENERGÉTICOS,;0,00;;;;;;;;;;;;;;
GOIENER S.COOP;0,00;MULTIENERGÍA VERDE, S.L.;0,00;REMICA COMERCIALIZADORA, S.A.U.;0,24;;;;;;;;;;;;;;
GRUPO ENERGALICIA, S.A.;0,00;NABALIA ENERGÍA 2000, S.A.;0,14;RENEWABLE VENTURES, S.L.;0,00;;;;;;;;;;;;;;
GRUPO IBERSOGAS ENERGÍA, S.L.;0,25;NATURGY IBERIA, S.A.;0,30;RESPIRA ENERGÍA, S.A.;0,03;;;;;;;;;;;;;;
HANWHA ENERGY RETAIL SPAIN SL;0,00;NATURGY RENOVABLES, S.L.U.;0,00;RESPIRA ENERGÍA ESPAÑA, S.L. ;0,37;;;;;;;;;;;;;;
HELIA COOP V;0,00;NEOWATIO, S.L.;0,00;RTOTAL GAS Y ELECTRICIDAD ESPAÑA, S.A.U.;0,36;;;;;;;;;;;;;;
HELIOELEC ENERGÍA ELÉCTRICA, S.L.;0,00;NEXUS ENERGÍA, S.A.;0,00;SAMPOL INGENIERÍA Y OBRAS, S.A.;0,33;;;;;;;;;;;;;;
HIDROELÉCTRICA DEL VALIRA, S.L.;0,00;NINOBE SERVICIOS ENERGÉTICOS, S.L.;0,29;SHELL ESPAÑA, S.A.;0,00;;;;;;;;;;;;;;
HIDROELÉCTRICA DEL CANTÁBRICO, S.A.;0,25;NOBE SOLUCIONES Y ENERGÍA;0,00;SOM ENERGÍA, S.C.C.L.;0,00;;;;;;;;;;;;;;
HIDROELÉCTRICA EL CARMEN ENERGÍA, S.L.;0,00;NOSA ENERXIA SOCIEDADE COOP GALEGA;0,00;STIN, S.A.;0,39;;;;;;;;;;;;;;
HIDROELÉCTRICA LUMYMEY, S.L.;0,00;ODF ENERGÍA LIBRE COMERCIALIZADORA, S.L.;0,00;SUMINISTRADORA ELECTRICA VIENTOS ALISIOS DE LANZAROTE S.L.;0,00;;;;;;;;;;;;;;
HOLALUZ-CLIDOM, S.A.;0,00;ON DEMAND FACILITIES, S.L.U.;0,00;SUMINISTROS ESPECIALES ALGINETENSES COOP. V.;0,00;;;;;;;;;;;;;;
IBERCOEN ENERGÍA, S.A.;0,00;OVO ENERGY SPAIN, S.L.;0,00;SUNAIR ONE ENERGY, S.L.;0,38;;;;;;;;;;;;;;
IBERDROLA CLIENTES, S.A.U.;0,15;PEPEENERGY;0,00;SUNAIR ONE HOME, S.L.;0,20;;;;;;;;;;;;;;
IBERDROLA SERVICIOS ENERGETICOS, S.A.U.;0,00;PETRO NAVARRA, S.L.;0,00;SYDER COMERCIALIZADORA VERDE, S.L.;0,00;;;;;;;;;;;;;;
IM3 ENERGÍA, S.L.;0,00;PHOTON GESTIÓN;0,00;TELEFONICA SOLUCIONES DE INFORMATICA Y COMUNICACIONES DE ESPAÑA, S.A.U.;0,20;;;;;;;;;;;;;;
INDEXO ENERGÍA, S.L.;0,04;POTENZIA COMERCIALIZADORA, S.L.;0,00;THE YELLOW ENERGY, S.L.;0,00;;;;;;;;;;;;;;
INER ENERGÍA CASTILLA LA MANCHA, S.L.;0,00;PROT ENERGÍA COMERCIALIZACIÓN, S.L.;0,00;TOTAL GAS Y ELECTRICIDAD ESPAÑA S.A.U.;0,38;;;;;;;;;;;;;;
INICIATIVA E. NOVA, S.L.;0,00;PULSAR SERVICIOS ENERGÉTICOS;0,00;TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.;0,00;;;;;;;;;;;;;;
INNOVA DESARROLLO Y EFICIENCIA ENERGÉTICA, S.L.;0,00;REMICA COMERCIALIZADORA, S.A.U.;0,21;TRADE UNIVERSAL ENERGY, S.A.;0,00;;;;;;;;;;;;;;
INSIGNIA ENERGÍA, S.L.;0,25;RENEWABLE VENTURES, S.L.;0,00;UNIELÉCTRICA ENERGÍA, S.A.;0,00;;;;;;;;;;;;;;
INTEGRACION EUROPEA DE ENERGÍA SUR, S.L.;0,25;REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U.;0,02;V3J INGENIERIA Y SERVICIOS, S.L.;0,30;;;;;;;;;;;;;;
INTEGRACIÓN EUROPEA DE ENERGÍA, S.A.U.;0,05;RESPIRA ENERGÍA ESPAÑA, S.L. ;0,31;VIESGO ENERGÍA, S.L.;0,21;;;;;;;;;;;;;;
INTELIGENCIA PARA EL AHORRO ENERGÉTICO S.L.;0,00;RESPIRA ENERGÍA, S.A.;0,05;VIRTUS GLOBAL ENERGY SL;0,00;;;;;;;;;;;;;;
KILOWATIOS VERDES, S.L.;0,00;ROFEICA ENERGÍA, S.A;0,30;VIVE ENERGÍA ELÉCTRICA, S.A;0,41;;;;;;;;;;;;;;
KIPIN ENERGY SL;0,00;RONDA OESTE ENERGÍA, S.L.;0,29;WATIO WHOLESALE, S.L.;0,39;;;;;;;;;;;;;;
KISHOA, S.L.;0,00;SAMPOL INGENIERÍA Y OBRAS, S.A.;0,18;WATIUM, S.L.;0,35;;;;;;;;;;;;;;
LA CORRIENTE SOCIEDAD COOPERATIVA;0,00;SHELL ESPAÑA, S.A.;0,00;WIND TO MARKET, S.A.;0,20;;;;;;;;;;;;;;
LA UNIÓN ELECTRO INDUSTRIAL, S.L.U.;0,00;SOM ENERGÍA, S.C.C.L.;0,00;;;;;;;;;;;;;;;;
LONJAS TECNOLOGÍA, S.A.;0,21;STIN, S.A.;0,24;;;;;;;;;;;;;;;;
LOOP ELECTRICIDAD Y GAS S.L.;0,00;SUMINISTRADORA ELECTRICA VIENTOS ALISIOS DE LANZAROTE, S.L.;0,00;;;;;;;;;;;;;;;;
LOVE ENERGY, S.L.;0,00;SUMINISTROS ESPECIALES ALGINETENSES COOP. V.;0,00;;;;;;;;;;;;;;;;
LUCE CAPITAL GROUP SL;0,00;SUNAIR ONE ENERGY, S.L.;0,00;;;;;;;;;;;;;;;;
LUX FORUM SL;0,20;SUNAIR ONE HOME, S.L.;0,00;;;;;;;;;;;;;;;;
LUZ SOLIDARIA S.L.;0,00;SYDER COMERCIALIZADORA VERDE, S.L.;0,00;;;;;;;;;;;;;;;;
MASQLUZ 2020, S.L.;0,00;TELEFONICA SOLUCIONES DE INFORMATICA Y COMUNICACIONES DE ESPAÑA, S.A.U.;0,00;;;;;;;;;;;;;;;;
MEGARA ENERGÍA SOCIEDAD COOPERATIVA CYL;0,00;TERUGAS ENERGY, S.L.;0,00;;;;;;;;;;;;;;;;
MENTA ENERGÍA COMERCIALIZADORA SL;0,00;THE ENERGY HOUSE GROUP, S.L.;0,00;;;;;;;;;;;;;;;;
MULTIENERGÍA VERDE, S.L.;0,00;THE YELLOW ENERGY, S.L.;0,00;;;;;;;;;;;;;;;;
NABALIA ENERGÍA 2000, S.A.;0,00;TOTAL GAS Y ELECTRICIDAD ESPAÑA, S.A.U.;0,30;;;;;;;;;;;;;;;;
NATURGY IBERIA, S.A.;0,25;TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.;0,00;;;;;;;;;;;;;;;;
NATURGY RENOVABLES, S.L.U.;0,00;TRADE UNIVERSAL ENERGY, S.A.;0,00;;;;;;;;;;;;;;;;
NEOELECTRA ENERGÍA, S.L.U.;0,24;UNIELÉCTRICA ENERGÍA, S.A.;0,00;;;;;;;;;;;;;;;;
NEOWATIO S.L.;0,00;VIRTUS GLOBAL ENERGY, S.L.;0,00;;;;;;;;;;;;;;;;
NEXUS ENERGÍA, S.A.;0,00;VISALIA ENERGÍA, S.L.;0,00;;;;;;;;;;;;;;;;
NINOBE SERVICIOS ENERGÉTICOS, S.L.;0,00;VIVE ENERGÍA ELÉCTRICA, S.A.;0,00;;;;;;;;;;;;;;;;
NOBE SOLUCIONES Y ENERGÍA;0,00;VIVO ENERGÍA FUTURA, S.A.;0,00;;;;;;;;;;;;;;;;
NOSA ENERXIA SOCIEDADE COOP GALEGA;0,00;VÓLTICO ENERGÍA, S.L.;0,00;;;;;;;;;;;;;;;;
NUEVA COMERCIALIZADORA ESPAÑOLA, S.L.;0,02;V3J INGENIERIA Y SERVICIOS, S.L.;0,05;;;;;;;;;;;;;;;;
ODF ENERGÍA LIBRE COMERCIALIZADORA, S.L.;0,00;WATIO WHOLESALE, S.L.;0,27;;;;;;;;;;;;;;;;
ON DEMAND FACILITIES, S.L.U.;0,00;WATIUM, S.L.;0,28;;;;;;;;;;;;;;;;
OVO ENERGY SPAIN S.L.;0,00;WIND TO MARKET, S.A.;0,21;;;;;;;;;;;;;;;;
PEPEENERGY;0,00;24-7 UTILITIES, S.L.U.;0,00;;;;;;;;;;;;;;;;
PETRO NAVARRA, S.L.;0,22;;;;;;;;;;;;;;;;;;
PETRONIEVES ENERGÍA 1, S.L.;0,24;;;;;;;;;;;;;;;;;;
POTENZIA COMERCIALIZADORA SL;0,00;;;;;;;;;;;;;;;;;;
PROT ENERGÍA COMERCIALIZACIÓN, S.L.;0,00;;;;;;;;;;;;;;;;;;
PULSAR SERVICIOS ENERGÉTICOS,;0,00;;;;;;;;;;;;;;;;;;
RA&AN ELÉCTRICA SL;0,00;;;;;;;;;;;;;;;;;;
RENEWABLE VENTURES, S.L.;0,00;;;;;;;;;;;;;;;;;;
REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U.;0,00;;;;;;;;;;;;;;;;;;
RESPIRA ENERGÍA, S.A.;0,02;;;;;;;;;;;;;;;;;;
RESPIRA ENERGÍA ESPAÑA, S.L. ;0,01;;;;;;;;;;;;;;;;;;
ROFEICA ENERGÍA, S.A;0,21;;;;;;;;;;;;;;;;;;
RONDA OESTE ENERGÍA, S.L.;0,24;;;;;;;;;;;;;;;;;;
SAMPOL INGENIERÍA Y OBRAS, S.A.;0,05;;;;;;;;;;;;;;;;;;
SHELL ESPAÑA, S.A.;0,00;;;;;;;;;;;;;;;;;;
SIMPLES ENERGÍA DE ESPAÑA, S.L.;0,24;;;;;;;;;;;;;;;;;;
SISTEMAS URBANOS DE ENERGÍAS RENOVABLES SOCIEDAD LIMITADA;0,20;;;;;;;;;;;;;;;;;;
SOLABRIA, S.COOP;0,00;;;;;;;;;;;;;;;;;;
SOLELEC IBÉRICA, S.L.;0,25;;;;;;;;;;;;;;;;;;
SOM ENERGÍA, S.C.C.L.;0,00;;;;;;;;;;;;;;;;;;
STIN, S.A.;0,23;;;;;;;;;;;;;;;;;;
SUMINISTROS ESPECIALES ALGINETENSES COOP. V.;0,00;;;;;;;;;;;;;;;;;;
SUNAIR ONE CANARIAS, S.L.;0,00;;;;;;;;;;;;;;;;;;
SUNAIR ONE ENERGY, S.L.;0,00;;;;;;;;;;;;;;;;;;
SUNAIR ONE HOME, S.L.;0,00;;;;;;;;;;;;;;;;;;
SYDER COMERCIALIZADORA VERDE, S.L.;0,00;;;;;;;;;;;;;;;;;;
TELEFONICA SOLUCIONES DE INFORMATICA Y COMUNICACIONES DE ESPAÑA, S.A.U.;0,00;;;;;;;;;;;;;;;;;;
TENSINA DE ENERGÍA Y SERVICIOS, S.L.;0,00;;;;;;;;;;;;;;;;;;
THE YELLOW ENERGY, S.L.;0,00;;;;;;;;;;;;;;;;;;
TOTAL GAS Y ELECTRICIDAD ESPAÑA S.A.U.;0,19;;;;;;;;;;;;;;;;;;
TRACTAMENT I SELECCIÓ DE RESIDUS, S.A.;0,00;;;;;;;;;;;;;;;;;;
TRADE UNIVERSAL ENERGY, S.A.;0,00;;;;;;;;;;;;;;;;;;
UMEME ENERGÍA SOCIEDAD LIMITADA;0,19;;;;;;;;;;;;;;;;;;
UNIELÉCTRICA ENERGÍA, S.A.;0,00;;;;;;;;;;;;;;;;;;
V3J INGENIERÍA Y SERVICIOS, S.L.;0,01;;;;;;;;;;;;;;;;;;
VILLAR MIR ENERGÍA, S.L.;0,24;;;;;;;;;;;;;;;;;;
VIRTUS GLOBAL ENERGY SL;0,00;;;;;;;;;;;;;;;;;;
VISALIA ENERGÍA S.L.;0,20;;;;;;;;;;;;;;;;;;
VITA CAPITAL TRADING SL;0,00;;;;;;;;;;;;;;;;;;
VIVE ENERGÍA ELÉCTRICA, S.A;0,00;;;;;;;;;;;;;;;;;;
VIVO ENERGÍA FUTURA S.A;0,00;;;;;;;;;;;;;;;;;;
VÓLTICO ENERGÍA, S.L.;0,00;;;;;;;;;;;;;;;;;;
WATIO WHOLESALE, S.L.;0,17;;;;;;;;;;;;;;;;;;
WATIUM, S.L.;0,25;;;;;;;;;;;;;;;;;;
WIND TO MARKET, S.A.;0,16;;;;;;;;;;;;;;;;;;
ZULUX ENERGÍA SL;0,24;;;;;;;;;;;;;;;;;;