"","Type_gas","Composition","PCA"
"1","HFC-23","CH2F3","14800"
"2","HFC-32","CH2F2","675"
"3","HFC-41","CH3F","92"
"4","HFC-125","C2HF5","3500"
"5","HFC-134","C2H2F4","1100"
"6","HFC-134a","CH2FCF3","1430"
"7","HFC-143","C2H3F3.","353"
"8","HFC-143a","C2H3F3","4470"
"9","HFC-152","CH2FCH2F","53"
"10","HFC-152a","C2H4F2","124"
"11","HFC-161","C2H2F","12"
"12","HFC-227ea","C3HF7","3220"
"13","HFC-236cb","CH2FCF2CF3","1340"
"14","HFC-236ea","CHF2CHFCF3","1370"
"15","HFC-236fa","C3H2F6","9810"
"16","HFC-245ca","C3H3F5","693"
"17","HFC-245fa","C3H3F5","1030"
"18","HFC-365mfc","C4H5F5","794"
"19","HFC-43-10mee","C5H2F10","1640"
"20","SF6","SF6","22800"
"21","Otros","-","-"
"22","R-404A","R-125/143a/134a (44/52/4)","3922"
"23","R-407A","R-32/125/134a (20/40/40)","2107"
"24","R-407B","R-32/125/134a (10/70/20)","2804"
"25","R-407C","R-32/125/134a (23/25/52)","1774"
"26","R-407F","R-32/125/134a (30/30/40)","1825"
"27","R-410A","R-32/125 (50/50)","2088"
"28","R-410B","R-32/125 (45/55)","2229"
"29","R-413A","R-218/134a/600a (9/88/3)","2053"
"30","R-417A","R-125/134a/600 (46,6/50/3,4)","2346"
"31","R-417B","R-125/134a/600 (79/18,25/2,75)","3026"
"32","R-422A","R-125/134a/600a (85,1/11,5/3,4)","3143"
"33","R-422D","R-125/134a/600a (65,1/31,5/3,4)","2729"
"34","R-424A","R-125/134a/600a/600/601a (50,5/47/0,9/1/0)","2440"
"35","R-426A","R-134a/125/600/601a (93/5,1/1,3/0,6)","1508"
"36","R-427A","R-32/125/143a/134a (15/25/10/50)","2138"
"37","R-428A","R-125/143a/600a/290 (77,5/20/1,9/06)","3607"
"38","R-434A","R-125/143a/134a/600a (63,2/18/16/2,8)","3245"
"39","R-437A","R-125/134a/600/601 (19,5/78,5/1,4/06)","1805"
"40","R-438A","R-32/125/134a/600/601a (8,5/45/44,2/1,7/0,6)","2264"
"41","R-442A","R-32/125/134a/152a/227ea (31/31/30/3/5)","1888"
"42","R-449A","R-32/R-125/HFO-1234yf/R-134a (24,3/24,7/25,3/25,7)","1396"
"43","R-452A","R-125/R-32/HFO-1234yf (59/11/30)","2140"
"44","R-453A","R-134a/125/32/227ea/600/601a (53,8/20/20/5/0,6/0,6)","1765"
"45","R-507A","R-125/143a (50/50)","3985"